episode,total_reward,steps,epsilon,initial_Kp,final_Kp,initial_Kd,final_Kd
291,-1327.8649382055207,3,0.9163901311428799,2.0,0.5,31.0,31.0
292,-1318.023737701384,3,0.9161152141035371,0.5,0.5,31.0,32.0
293,-1316.161724047579,3,0.9158403795393061,0.5,0.0,32.0,33.0
294,-1318.543911587817,3,0.9155656274254443,0.0,0.5,33.0,33.0
295,-1319.5378954145197,3,0.9152909577372167,0.5,0.0,33.0,33.0
296,-1321.5954168303847,3,0.9150163704498956,0.0,0.5,33.0,33.0
297,-1319.5871377030578,3,0.9147418655387607,0.5,0.5,33.0,32.5
298,-1393.6055355586377,3,0.9144674429790991,0.5,1.5,32.5,32.5
299,-1404.0791707332437,4,0.9141931027462054,1.5,1.5,32.5,33.5
300,-1470.2899319126566,4,0.9139188448153815,1.5,2.5,33.5,33.0
301,-1527.1909946210606,4,0.913644669161937,2.5,3.5,33.0,33.0
302,-1540.6521119618533,4,0.9133705757611884,3.5,3.0,33.0,33.5
303,-1527.6184399632364,4,0.9130965645884601,3.0,2.5,33.5,34.5
304,-1544.538058439203,5,0.9128226356190836,2.5,3.0,34.5,34.5
305,-1549.6491044055701,5,0.912548788828398,3.0,2.5,34.5,35.0
306,-1683.9488356467605,5,0.9122750241917494,2.5,4.0,35.0,36.5
307,-1753.5883874034303,5,0.912001341684492,4.0,4.5,36.5,37.5
308,-2355.101522349254,10,0.9117277412819866,4.5,4.5,37.5,36.5
309,-4470.214505716427,20,0.9114542229596021,4.5,6.0,36.5,36.5
310,-2535.4593565161804,12,0.9111807866927143,6.0,5.0,36.5,35.0
311,-1757.3008022769618,6,0.9109074324567065,5.0,4.0,35.0,34.5
312,-1616.8560904480273,5,0.9106341602269695,4.0,3.0,34.5,33.5
313,-1526.8247751957012,4,0.9103609699789015,3.0,2.5,33.5,34.0
314,-1474.658912966448,4,0.9100878616879078,2.5,2.5,34.0,32.5
315,-1498.834131617137,4,0.9098148353294014,2.5,3.0,32.5,33.0
316,-1500.459650245499,4,0.9095418908788027,3.0,3.0,33.0,33.0
317,-1587.0563039626068,5,0.909269028311539,3.0,3.5,33.0,31.0
318,-1565.5610152210234,4,0.9089962476030455,3.5,3.5,31.0,31.5
